station_name,station_type,latitude,longitude,source
Oberspree,s_bahn,52.45244700,13.53802800,VBB GTFS
Olympia-Stadion,u_bahn,52.51687933,13.25055500,VBB GTFS
Olympiastadion,s_bahn,52.51151500,13.24270383,VBB GTFS
Onkel Toms Hütte,u_bahn,52.44987400,13.25307300,VBB GTFS
Oranienburg,s_bahn,52.75400400,13.24889050,VBB GTFS
Oranienburger Str.,s_bahn,52.52527550,13.39303900,VBB GTFS
Oranienburger Tor,u_bahn,52.52554800,13.38737100,VBB GTFS
Osdorfer Str.,s_bahn,52.41889650,13.31425900,VBB GTFS
Oskar-Helene-Heim,u_bahn,52.45036200,13.26896650,VBB GTFS
Osloer Str.,u_bahn,52.55715700,13.37325500,VBB GTFS
Ostbahnhof,s_bahn,52.51061800,13.43544700,VBB GTFS
Ostkreuz Bhf,s_bahn,52.50333333,13.46892417,VBB GTFS
Pankow,s_bahn,52.56625700,13.41030700,VBB GTFS
Pankow,u_bahn,52.56675750,13.41173400,VBB GTFS
Pankow-Heinersdorf,s_bahn,52.57806000,13.42951200,VBB GTFS
Pankstr.,u_bahn,52.55226700,13.38145200,VBB GTFS
Paracelsus-Bad,u_bahn,52.57415200,13.34903550,VBB GTFS
Paradestr.,u_bahn,52.47819100,13.38627350,VBB GTFS
Parchimer Allee,u_bahn,52.44476800,13.44959100,VBB GTFS
Paulsternstr.,u_bahn,52.53799450,13.24754650,VBB GTFS
Petershagen Nord,s_bahn,52.52888100,13.78938400,VBB GTFS
Pichelsberg,s_bahn,52.51021100,13.22745450,VBB GTFS
Platz der Luftbrücke,u_bahn,52.48594700,13.38588900,VBB GTFS
Plänterwald,s_bahn,52.47849850,13.47333000,VBB GTFS
Podbielskiallee,u_bahn,52.46402400,13.29552350,VBB GTFS
Poelchaustr.,s_bahn,52.53565100,13.53547150,VBB GTFS
Potsdam Hauptbahnhof,s_bahn,52.39180750,13.06675900,VBB GTFS
Potsdamer Platz Bhf,s_bahn,52.50962075,13.37664450,VBB GTFS
Potsdamer Platz Bhf,u_bahn,52.50903500,13.37797600,VBB GTFS
Prenzlauer Allee,s_bahn,52.54480850,13.42592000,VBB GTFS
Priesterweg,s_bahn,52.45991300,13.35625500,VBB GTFS
Prinzenstr.,u_bahn,52.49839250,13.40540200,VBB GTFS
Rahnsdorf,s_bahn,52.45163750,13.68993400,VBB GTFS
Raoul-Wallenberg-Str.,s_bahn,52.55075900,13.54760500,VBB GTFS
Rathaus Neukölln,u_bahn,52.48178500,13.43399800,VBB GTFS
Rathaus Reinickendorf,u_bahn,52.58839900,13.32574400,VBB GTFS
Rathaus Schöneberg,u_bahn,52.48304350,13.34202000,VBB GTFS
Rathaus Spandau,u_bahn,52.53518200,13.19978450,VBB GTFS
Rathaus Steglitz,s_bahn,52.45542200,13.32240400,VBB GTFS
Rathaus Steglitz,u_bahn,52.45614800,13.32057900,VBB GTFS
Rehberge,u_bahn,52.55661550,13.34102500,VBB GTFS
Reinickendorfer Str.,u_bahn,52.54007100,13.37022050,VBB GTFS
Residenzstr.,u_bahn,52.57112250,13.36051700,VBB GTFS
Richard-Wagner-Platz,u_bahn,52.51664750,13.30660550,VBB GTFS
Rohrdamm,u_bahn,52.53698800,13.26235700,VBB GTFS
Rosa-Luxemburg-Platz,u_bahn,52.52771300,13.41044800,VBB GTFS
Rosenthaler Platz,u_bahn,52.53040400,13.40069750,VBB GTFS
Rotes Rathaus,u_bahn,52.51878200,13.40791150,VBB GTFS
Rudow,u_bahn,52.41630550,13.49512100,VBB GTFS
Ruhleben,u_bahn,52.52559400,13.24127000,VBB GTFS
Rummelsburg,s_bahn,52.50120200,13.47868400,VBB GTFS
Röntgental,s_bahn,52.64863300,13.51340500,VBB GTFS
Rüdesheimer Platz,u_bahn,52.47337250,13.31443300,VBB GTFS
Samariterstr.,u_bahn,52.51473100,13.46452200,VBB GTFS
Savignyplatz,s_bahn,52.50511700,13.31906600,VBB GTFS
Schichauweg,s_bahn,52.39914200,13.38902400,VBB GTFS
Schillingstr.,u_bahn,52.52088900,13.42080450,VBB GTFS
Schlachtensee,s_bahn,52.44010750,13.21550850,VBB GTFS
Schlesisches Tor,u_bahn,52.50073350,13.44105500,VBB GTFS
Schloßstr.,u_bahn,52.46061700,13.32446600,VBB GTFS
Schulzendorf,s_bahn,52.61293100,13.24603200,VBB GTFS
Schwartzkopffstr.,u_bahn,52.53547450,13.37692450,VBB GTFS
Schöneberg,s_bahn,52.47928025,13.35172950,VBB GTFS
Schönefeld (bei Berlin),s_bahn,52.39092750,13.51308700,VBB GTFS
Schöneweide Bhf,s_bahn,52.45482600,13.50987400,VBB GTFS
Schönfließ,s_bahn,52.66458650,13.34051000,VBB GTFS
Schönhauser Allee,s_bahn,52.54932800,13.41521350,VBB GTFS
Schönhauser Allee,u_bahn,52.54922200,13.41366950,VBB GTFS
Schönholz,s_bahn,52.57144000,13.38107350,VBB GTFS
Schönleinstr.,u_bahn,52.49346400,13.42178450,VBB GTFS
Seestr.,u_bahn,52.54977200,13.35307450,VBB GTFS
Senefelderplatz,u_bahn,52.53243500,13.41269150,VBB GTFS
Siemensdamm,u_bahn,52.53675500,13.27270200,VBB GTFS
Sonnenallee,s_bahn,52.47297200,13.45570150,VBB GTFS
Sophie-Charlotte-Platz,u_bahn,52.51087300,13.29582600,VBB GTFS
Spandau Bhf,s_bahn,52.53474700,13.19754450,VBB GTFS
Spichernstr.,u_bahn,52.49711725,13.33141350,VBB GTFS
Spindlersfeld,s_bahn,52.44713500,13.56130100,VBB GTFS
Spittelmarkt,u_bahn,52.51130600,13.40369600,VBB GTFS
Springpfuhl,s_bahn,52.52707800,13.53653450,VBB GTFS
Stadtmitte,u_bahn,52.51119875,13.39023050,VBB GTFS
Storkower Str.,s_bahn,52.52369550,13.46507050,VBB GTFS
Strausberg,s_bahn,52.53220300,13.83325900,VBB GTFS
Strausberg Nord,s_bahn,52.59028550,13.90851250,VBB GTFS
Strausberg Stadt,s_bahn,52.57665900,13.88795300,VBB GTFS
Strausberger Platz,u_bahn,52.51809950,13.43154200,VBB GTFS
Stresow,s_bahn,52.53198800,13.20920600,VBB GTFS
Sundgauer Str.,s_bahn,52.43634600,13.27392400,VBB GTFS
Südende,s_bahn,52.44819550,13.35370100,VBB GTFS
Südkreuz Bhf,s_bahn,52.47596975,13.36528825,VBB GTFS
Südstern,u_bahn,52.48925700,13.40770450,VBB GTFS
Tegel,s_bahn,52.58809750,13.28977700,VBB GTFS
Teltow Stadt,s_bahn,52.39691000,13.27662250,VBB GTFS
Tempelhof,s_bahn,52.47097450,13.38444600,VBB GTFS
Tempelhof,u_bahn,52.46981650,13.38560350,VBB GTFS
Theodor-Heuss-Platz,u_bahn,52.50989300,13.27260250,VBB GTFS
